---------------------------------------------------------------------------------------------------
Date: 2/9/2026 -- 16:58:02 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 19
capture.afpacket.polls                                       | Total                     | 475
capture.afpacket.poll_timeout                                | Total                     | 459
capture.afpacket.poll_data                                   | Total                     | 16
decoder.pkts                                                 | Total                     | 19
decoder.bytes                                                | Total                     | 1638
decoder.ipv4                                                 | Total                     | 1
decoder.ipv6                                                 | Total                     | 12
decoder.ethernet                                             | Total                     | 19
decoder.arp                                                  | Total                     | 6
decoder.icmpv6                                               | Total                     | 12
decoder.avg_pkt_size                                         | Total                     | 86
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 5
flow.active                                                  | Total                     | 5
flow.icmpv6                                                  | Total                     | 5
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 5
decoder.event.ipv4.opt_pad_required                          | Total                     | 1
decoder.event.ipv6.zero_len_padn                             | Total                     | 10
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9500
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9411456
---------------------------------------------------------------------------------------------------
Date: 2/9/2026 -- 16:58:10 (uptime: 0d, 00h 00m 16s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 19
capture.afpacket.polls                                       | Total                     | 1184
capture.afpacket.poll_timeout                                | Total                     | 1168
capture.afpacket.poll_data                                   | Total                     | 16
decoder.pkts                                                 | Total                     | 19
decoder.bytes                                                | Total                     | 1638
decoder.ipv4                                                 | Total                     | 1
decoder.ipv6                                                 | Total                     | 12
decoder.ethernet                                             | Total                     | 19
decoder.arp                                                  | Total                     | 6
decoder.icmpv6                                               | Total                     | 12
decoder.avg_pkt_size                                         | Total                     | 86
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 5
flow.active                                                  | Total                     | 5
flow.icmpv6                                                  | Total                     | 5
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 5
decoder.event.ipv4.opt_pad_required                          | Total                     | 1
decoder.event.ipv6.zero_len_padn                             | Total                     | 10
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9500
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 5
flow.mgr.flows_notimeout                                     | Total                     | 5
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9411456
---------------------------------------------------------------------------------------------------
Date: 2/9/2026 -- 16:58:18 (uptime: 0d, 00h 00m 24s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 19
capture.afpacket.polls                                       | Total                     | 1653
capture.afpacket.poll_timeout                                | Total                     | 1637
capture.afpacket.poll_data                                   | Total                     | 16
decoder.pkts                                                 | Total                     | 19
decoder.bytes                                                | Total                     | 1638
decoder.ipv4                                                 | Total                     | 1
decoder.ipv6                                                 | Total                     | 12
decoder.ethernet                                             | Total                     | 19
decoder.arp                                                  | Total                     | 6
decoder.icmpv6                                               | Total                     | 12
decoder.avg_pkt_size                                         | Total                     | 86
decoder.max_pkt_size                                         | Total                     | 150
flow.total                                                   | Total                     | 5
flow.active                                                  | Total                     | 5
flow.icmpv6                                                  | Total                     | 5
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 5
decoder.event.ipv4.opt_pad_required                          | Total                     | 1
decoder.event.ipv6.zero_len_padn                             | Total                     | 10
flow.mgr.full_hash_pass                                      | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9500
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 5
